Date,VOLATILITY_30D,NEWS_SENTIMENT_DAILY_AVG,NEWS_NEG_SENTIMENT_COUNT,NEWS_POS_SENTIMENT_COUNT,NEWS_NEUTRAL_SENTIMENT_COUNT,RSI_14D,RSI_30D,PX_TO_EBITDA,PX_TO_CASH_FLOW,REL_5D
08/26/2013,25.823,0.0601,#N/A N/A,#N/A N/A,#N/A N/A,72.2099,65.6152,8.4172,8.8997,-1.183
08/27/2013,27.776,0.0244,#N/A N/A,#N/A N/A,#N/A N/A,58.8848,59.7689,8.1765,8.6453,-1.813
08/28/2013,27.774,-0.0376,#N/A N/A,#N/A N/A,#N/A N/A,60.1546,60.3549,8.2151,8.6861,-1.117
08/29/2013,27.071,0.0588,#N/A N/A,#N/A N/A,#N/A N/A,60.6113,60.5621,8.2286,8.7003,-0.937
08/30/2013,27.399,0.1066,#N/A N/A,#N/A N/A,#N/A N/A,56.7071,58.7895,8.1535,8.621,#N/A N/A
09/02/2013,#N/A N/A,0.2406,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,-1.853
09/03/2013,26.554,0.1339,#N/A N/A,#N/A N/A,#N/A N/A,57.6017,59.1656,8.1763,8.6451,0.672
09/04/2013,23.183,0.1247,#N/A N/A,#N/A N/A,#N/A N/A,63.6058,61.8364,8.3456,8.824,-0.335
09/05/2013,23.275,0.1195,#N/A N/A,#N/A N/A,#N/A N/A,60.4849,60.4525,8.2883,8.7635,0.285
09/06/2013,23.276,0.1593,#N/A N/A,#N/A N/A,#N/A N/A,62.207,61.2266,8.3377,8.8157,1.483
09/09/2013,23.3,0.143,#N/A N/A,#N/A N/A,#N/A N/A,66.4503,63.233,8.4707,8.9563,-1.418
09/10/2013,24.534,0.3235,#N/A N/A,#N/A N/A,#N/A N/A,56.5358,58.6775,8.2778,8.7523,-8.214
09/11/2013,30.225,0.1468,#N/A N/A,#N/A N/A,#N/A N/A,41.1083,49.978,7.8271,8.2758,-6.166
09/12/2013,30.264,0.2847,#N/A N/A,#N/A N/A,#N/A N/A,44.1438,51.3576,7.9104,8.3639,-8.502
09/13/2013,30.499,0.3571,#N/A N/A,#N/A N/A,#N/A N/A,40.6171,49.1635,7.7801,8.2261,-12.43
09/16/2013,31.64,0.0281,#N/A N/A,#N/A N/A,#N/A N/A,34.9172,45.3599,7.5327,7.9646,-9.071
09/17/2013,31.781,0.1819,#N/A N/A,#N/A N/A,#N/A N/A,38.203,46.8563,7.6197,8.0566,-2.743
09/18/2013,32.403,0.178,#N/A N/A,#N/A N/A,#N/A N/A,43.7116,49.4349,7.7764,8.2222,-2.34
09/19/2013,32.647,0.0548,#N/A N/A,#N/A N/A,#N/A N/A,47.7918,51.4201,7.9039,8.357,-0.749
09/20/2013,32.498,0.2228,#N/A N/A,#N/A N/A,#N/A N/A,45.5119,50.114,7.8221,8.2705,8.73
09/23/2013,34.593,0.0265,#N/A N/A,#N/A N/A,#N/A N/A,56.2013,55.6501,8.2108,8.6816,7.883
09/24/2013,31.702,0.6702,#N/A N/A,#N/A N/A,#N/A N/A,55.425,55.2298,8.185,8.6543,5.631
09/25/2013,31.519,0.358,#N/A N/A,#N/A N/A,#N/A N/A,51.6486,53.1869,8.0584,8.5204,4.382
09/26/2013,31.687,-0.0811,#N/A N/A,#N/A N/A,#N/A N/A,53.7511,54.271,8.1369,8.6033,4.391
09/27/2013,31.596,0.0776,#N/A N/A,#N/A N/A,#N/A N/A,51.9511,53.3258,8.0309,8.3612,-1.659
09/30/2013,31.536,0.1565,#N/A N/A,#N/A N/A,#N/A N/A,48.9017,51.7148,7.931,8.2573,-0.091
10/01/2013,32.232,0.1646,#N/A N/A,#N/A N/A,#N/A N/A,54.2991,54.3787,8.1175,8.4514,1.602
10/02/2013,32.24,-0.0444,#N/A N/A,#N/A N/A,#N/A N/A,55.0292,54.7473,8.1442,8.4791,0.607
10/03/2013,32.422,-0.0718,#N/A N/A,#N/A N/A,#N/A N/A,51.6157,53.0431,8.0418,8.3726,0.132
10/04/2013,32.413,0.2324,#N/A N/A,#N/A N/A,#N/A N/A,51.4035,52.9378,8.0355,8.366,2.639
10/07/2013,32.546,0.6055,#N/A N/A,#N/A N/A,#N/A N/A,53.9364,54.1087,8.114,8.4478,0.916
10/08/2013,31.65,0.5863,#N/A N/A,#N/A N/A,#N/A N/A,49.8957,52.1713,8.0008,8.3298,1.641
10/09/2013,31.826,0.1329,#N/A N/A,#N/A N/A,#N/A N/A,53.038,53.5968,8.0947,8.4276,0.457
10/10/2013,31.882,0.1675,#N/A N/A,#N/A N/A,#N/A N/A,54.6906,54.3568,8.1454,8.4805,1.264
